trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
30,2515595.0382863847,1483760.1263203719,0.0,0.0,False,False,,0.0,6.162684750907013,6.100833168702179,2.5968275494149706,0.048389172053722965,0.07976890061290356,0.07318077893799828,0.015145230866158751,5.216931837677567e-05,2.971571207046509,2.6712892055511475,0.00019864285838927433,0.1465643243509292,0.0,0.0,0.0033710998829634244,0.0053550932475038915,1.253062434908628,12.742009162902832
31,1566737.7963977442,1483760.1263203719,0.0,0.0,False,False,,0.0,7.842944967395422,12.437226912017811,3.1713798574137253,0.057302380761089206,0.10480731644912832,0.08818367707939848,0.005660306725960393,0.0012833842594615764,3.7891969680786133,6.07037615776062,0.0026918520397104743,0.08122596006570816,0.0,0.0,0.003289943578682607,0.007745708032907088,0.8820378167415558,12.73148512840271
32,2434351.590679955,1483760.1263203719,0.0,0.0,False,False,,0.0,6.187029267494259,7.914621418528338,2.762190965891151,0.1555047256049629,0.08559744608343653,0.07772617377982445,0.014332906361134462,0.0003835116707022984,2.9769253730773926,3.597548246383667,0.0005759215408561472,0.1499975203192255,0.0,0.0,0.009344793742123703,0.020186593916993317,0.5421854196923775,12.750213861465454
33,2005483.8151609434,1483760.1263203719,0.0,0.0,False,False,,0.0,7.415898625647647,13.168993169209488,3.0693259762476615,0.040236087229933694,0.10248010295790586,0.08518038345562844,0.010045512848684893,0.0021372841809726316,3.580178737640381,6.3204662799835205,0.005156993361640132,0.08338140165552063,0.0,0.0,0.0023724578659793595,0.005314106075524704,0.828990900950727,12.739302635192871
34,1820001.3630515186,1483760.1263203719,0.0,0.0,False,False,,0.0,8.013981113205482,13.057498286075132,3.0794889267034984,0.11060669362475019,0.10072771042223094,0.08579151145952549,0.008191919822937044,0.0006631410068521685,3.878303289413452,6.318469524383545,0.0021926492322379104,0.08335633292730805,0.0,0.0,0.006037784296789072,0.015576104812609404,1.4079251093959702,12.74599313735962
35,2131356.284160034,1483760.1263203719,0.0,0.0,False,False,,0.0,8.255220534763318,13.091168730453491,3.238894765375561,0.09406344117408066,0.10568861817893611,0.09028693118412656,0.011303792268407498,0.0003253151685921635,3.9921798706054688,6.258491039276123,0.0017994076961743296,0.08263008028352482,0.0,0.0,0.005572712716397602,0.01237043486072496,0.4601459751627821,12.751755952835083
36,2244920.5318206428,1483760.1263203719,0.0,0.0,False,False,,0.0,8.071011476465978,13.26245186510539,3.0129631268503,0.13382854212344378,0.098189457799088,0.08399643260535883,0.012438840290328004,0.0018189429688904234,3.909511089324951,6.31186842918396,0.0033545984442140877,0.08110207822451863,0.0,0.0,0.007392816377341616,0.018671502776177712,0.764961795074174,12.754018306732178
37,2061365.578809238,1483760.1263203719,0.0,0.0,False,False,,0.0,7.918969116289761,13.185992015974978,2.921198087015924,0.0826117352787499,0.09410770100139541,0.08162099840884288,0.010604575934880373,0.0006598210735625163,3.837053060531616,6.322453737258911,0.0021711489426272557,0.08317410937421539,0.0,0.0,0.004963837104926508,0.010725259609834462,0.6007150178006297,12.78302526473999
38,2379310.643896169,1483760.1263203719,0.0,0.0,False,False,,0.0,8.123626151463641,13.59943266267697,3.216160046679874,0.0676988066868471,0.10558700173301143,0.08955380611328735,0.013781996052098469,0.0009239152123859019,3.9274823665618896,6.447250127792358,0.003166520897465665,0.08157348192848603,0.0,0.0,0.004087550806970997,0.00874960005776978,0.9153896592340005,12.839988708496094
39,2540440.820966083,1483760.1263203719,0.0,0.0,False,False,,0.0,6.717324782002432,10.251492312148255,2.85106984508996,0.08614787587598038,0.0892900229975522,0.0800768695236787,0.015393175621786687,0.00020960641381010634,3.2385470867156982,4.738297939300537,0.0010475304915695432,0.12021645218062985,0.0,0.0,0.005412391958817665,0.010712185051359766,0.6080870405020523,12.73361611366272
