number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
47,2519877.223295972,2000-01-01 00:00:47.000000,2000-01-01 00:00:47.000000,0 days 00:00:00,30.73965257842969,20.40244681884156,0.0076445600882834,0.0130153886454341,65.4279212736672,1480.4991461372404,1387.1422211732597,279.6780874735482,0.4969852985544059,0.0383256890077583,1.0953953977531965,COMPLETE
48,2257865.5303219524,2000-01-01 00:00:48.000000,2000-01-01 00:00:48.000000,0 days 00:00:00,22.97736726136029,10.936259275981588,0.0079772143816431,0.007911796193458,11.978676381463911,1351.1060586338915,1719.6341861134897,298.1077391925254,0.2871174593161093,0.0925943838963798,0.924016534043536,COMPLETE
49,2738608.857534199,2000-01-01 00:00:49.000000,2000-01-01 00:00:49.000000,0 days 00:00:00,39.45334582234037,24.766387089293403,0.0042491884129845,0.0055847870047219,17.882698474976586,1470.8492431163943,1623.0294465745876,283.1321748781008,0.2922764817672555,0.0764484644756771,1.1481397420578094,COMPLETE
50,3462344.5858974364,2000-01-01 00:00:50.000000,2000-01-01 00:00:50.000000,0 days 00:00:00,40.29022668392473,34.44786202904895,0.0035493689304492,0.0142887884824004,30.252727257043038,1637.392177826992,1648.591237173338,493.5768487665574,0.2608492991456551,0.0990460102248213,1.0630949042800255,COMPLETE
51,3632715.3707858096,2000-01-01 00:00:51.000000,2000-01-01 00:00:51.000000,0 days 00:00:00,40.82541138728663,11.65316790092036,0.0066942919607125,0.0073956680049519,24.03633559009953,1526.0111582203683,1593.115376259694,486.8866865974576,0.144549752347804,0.0313536202184817,1.1688016842885165,COMPLETE
52,2013395.20883046,2000-01-01 00:00:52.000000,2000-01-01 00:00:52.000000,0 days 00:00:00,43.13329338683718,62.398769900859165,0.0045101049807473,0.0023536280776042,54.89278789702417,1494.096303487556,1227.006384318093,424.8265785557841,0.1443387361785821,0.0437933384972422,1.1680899563754572,COMPLETE
53,7093193.270930545,2000-01-01 00:00:53.000000,2000-01-01 00:00:53.000000,0 days 00:00:00,35.3935297244821,32.55751114156761,0.0062120288200084,0.002926441778402,37.583734618726446,1350.1813874168593,1080.6737948690336,401.0381099919806,0.4858991587751546,0.0534441251367012,1.1834802186269384,COMPLETE
54,3283966.0244829324,2000-01-01 00:00:54.000000,2000-01-01 00:00:54.000000,0 days 00:00:00,31.860471633212494,14.22586533428198,0.0033574408487999,0.0201363466693796,11.442700872443028,1394.0147949243683,1868.8728064562256,411.20738881493264,0.3195430308029497,0.0974957508450852,1.0046351952351902,COMPLETE
55,9408287.783071272,2000-01-01 00:00:55.000000,2000-01-01 00:00:55.000000,0 days 00:00:00,42.61344503483188,14.91657161816624,0.0053614796885093,0.0206290992141161,57.5847512811408,1103.695777085797,2015.6744763651216,369.6231347379807,0.3069004531775442,0.0607166319898284,0.9183137366235086,COMPLETE
56,2801996.7498670667,2000-01-01 00:00:56.000000,2000-01-01 00:00:56.000000,0 days 00:00:00,48.394416999014055,13.598013453580162,0.0073570185139808,0.0073872907322977,12.284734945428236,1121.6937794124483,1797.8034361029768,451.2215714459596,0.4929069599433465,0.0930816299031962,0.9716285504847562,COMPLETE
57,7428575.820477744,2000-01-01 00:00:57.000000,2000-01-01 00:00:57.000000,0 days 00:00:00,24.536791678783988,22.57894505557824,0.0037768536106206,0.0042495831874247,15.711434972530208,1642.4465422206356,1732.7183377286551,387.5938421779118,0.4077667444412723,0.0961398163119386,1.08312490734249,COMPLETE
58,7067675.053516006,2000-01-01 00:00:58.000000,2000-01-01 00:00:58.000000,0 days 00:00:00,49.873578353593466,40.79129381867564,0.0028955571119968,0.002329380137915,116.45423512283632,1759.869156034615,1226.8999933579794,475.7187989323042,0.3636984560519467,0.0269832100041983,1.1784165131521664,COMPLETE
59,7947324.575891441,2000-01-01 00:00:59.000000,2000-01-01 00:00:59.000000,0 days 00:00:00,49.70744609625,23.822715666123138,0.0044031058612647,0.0020736446549878,16.535555603136896,1739.8632190591718,1382.5872808275035,420.126309875667,0.3567196723768402,0.0805393246480782,0.973674059884826,COMPLETE
60,9216247.131010272,2000-01-01 00:01:00.000000,2000-01-01 00:01:00.000000,0 days 00:00:00,49.498193206079456,27.204307694672607,0.0048702545644887,0.0085193086192637,91.20828157175995,1970.497065780436,1088.0052577330985,442.2669801695351,0.3112127856564124,0.0572447857616378,1.1783162603938604,COMPLETE
61,3399921.41189009,2000-01-01 00:01:01.000000,2000-01-01 00:01:01.000000,0 days 00:00:00,32.4701002243565,34.03562005940963,0.0097900732289862,0.008190178412118,25.2165929957203,1541.5496200679247,1278.479262202226,362.85632583006645,0.1329866330032909,0.0553477612599566,1.0225453694163793,COMPLETE
62,2673639.2799641592,2000-01-01 00:01:02.000000,2000-01-01 00:01:02.000000,0 days 00:00:00,18.940508098074368,21.16860502846625,0.0030677625555704,0.0132657271792448,49.08907354914894,1094.9141749993803,1180.1584998090827,322.0117643578179,0.3180882692969047,0.0736818625434711,1.11294798856545,COMPLETE
