number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
31,391.84120516915567,2000-01-01 00:00:31.000000,2000-01-01 00:00:31.000000,0 days 00:00:00,27.26383586234788,91.3663181311624,1207.970618263418,131.1478881403467,0.1739578468685756,0.0490466908953922,1.125771146544454,COMPLETE
32,1000000000.0,2000-01-01 00:00:32.000000,2000-01-01 00:00:32.000000,0 days 00:00:00,18.815034909525416,96.03261053520126,2015.7507520579047,144.1659615536992,0.1888620743424039,0.0462861084442046,0.8192237340599724,COMPLETE
33,315.44982048687905,2000-01-01 00:00:33.000000,2000-01-01 00:00:33.000000,0 days 00:00:00,6.353506838149127,92.30532661332104,2343.67493085907,252.23890449555643,0.3434156347210078,0.0962065456541527,1.0859473505351636,COMPLETE
34,373.433507818756,2000-01-01 00:00:34.000000,2000-01-01 00:00:34.000000,0 days 00:00:00,22.699995075470945,92.63271607025952,1982.1686575354863,361.8791818327434,0.4279700207672664,0.0838317618514728,1.1132421556524963,COMPLETE
35,369.2570556485266,2000-01-01 00:00:35.000000,2000-01-01 00:00:35.000000,0 days 00:00:00,6.114925707970629,88.97741416014797,1938.2340272053584,222.21569528370983,0.4363909058298269,0.0944240034664287,1.0921994493122131,COMPLETE
36,393.6478354930427,2000-01-01 00:00:36.000000,2000-01-01 00:00:36.000000,0 days 00:00:00,12.905979294669937,90.02332622967714,2483.7339227723296,200.2774560445414,0.332639094548819,0.0810517487348203,1.081786973423702,COMPLETE
37,1000000000.0,2000-01-01 00:00:37.000000,2000-01-01 00:00:37.000000,0 days 00:00:00,15.609525768649853,58.97757738928951,2587.0211223726296,178.4585759227327,0.2991137390458712,0.0427125598935513,0.731740349011771,COMPLETE
38,393.814697405969,2000-01-01 00:00:38.000000,2000-01-01 00:00:38.000000,0 days 00:00:00,10.662673867386452,47.7623398259256,2426.233369367087,293.5866900915462,0.4008456661193856,0.0816199408816612,0.7232302493363588,COMPLETE
39,1000000000.0,2000-01-01 00:00:39.000000,2000-01-01 00:00:39.000000,0 days 00:00:00,12.56464630241882,65.68649029857733,2430.155480350448,363.895565576102,0.3505701058034779,0.0980922632435288,0.9253131655516584,COMPLETE
40,367.8403896168077,2000-01-01 00:00:40.000000,2000-01-01 00:00:40.000000,0 days 00:00:00,6.72737428087473,66.39593402099696,2535.335144669436,149.2494428425841,0.2718417976024876,0.0944912976637375,0.981305235381179,COMPLETE
41,357.4719664851554,2000-01-01 00:00:41.000000,2000-01-01 00:00:41.000000,0 days 00:00:00,7.906010899275732,61.12698149820166,2414.9302084496667,339.34238390402834,0.3538691054631615,0.047001199256363,0.9855322755244724,COMPLETE
42,328.4958381488184,2000-01-01 00:00:42.000000,2000-01-01 00:00:42.000000,0 days 00:00:00,7.363446096462037,88.27067885789215,2371.0136839512343,311.7026970296261,0.3527062838178105,0.0995914936249325,1.0945920647173693,COMPLETE
43,349.90015398298715,2000-01-01 00:00:43.000000,2000-01-01 00:00:43.000000,0 days 00:00:00,10.368768014760509,82.65033625550765,2193.311551073073,325.24054193738544,0.2781758058688328,0.0965249657328933,1.1638281146628,COMPLETE
44,350.9360680366781,2000-01-01 00:00:44.000000,2000-01-01 00:00:44.000000,0 days 00:00:00,7.322485716680671,82.49513807964388,2819.309457598752,310.37363028035395,0.4226189057400177,0.099069524396899,1.0219469498152531,COMPLETE
45,398.9136471130413,2000-01-01 00:00:45.000000,2000-01-01 00:00:45.000000,0 days 00:00:00,15.523484758430849,98.78245151708462,1914.7966521162648,183.6447317014709,0.267391716592863,0.0054571548159384,1.1975166947631548,COMPLETE
46,1000000000.0,2000-01-01 00:00:46.000000,2000-01-01 00:00:46.000000,0 days 00:00:00,8.952011043719835,58.28467803895649,2573.5373365763926,272.4947052315307,0.1591210809650382,0.0443529943776054,0.7781876402813976,COMPLETE
47,1000000000.0,2000-01-01 00:00:47.000000,2000-01-01 00:00:47.000000,0 days 00:00:00,14.883301146945843,92.25627688155078,2337.79634213656,315.49724353804737,0.3298557351524346,0.0938486465094068,1.1511694982458132,COMPLETE
48,1000000000.0,2000-01-01 00:00:48.000000,2000-01-01 00:00:48.000000,0 days 00:00:00,7.830281971005132,79.38071209412853,2364.64682528877,314.7955272191018,0.3857151669087119,0.0974516251902309,1.1270400221248489,COMPLETE
49,396.89698895128856,2000-01-01 00:00:49.000000,2000-01-01 00:00:49.000000,0 days 00:00:00,9.67539773248332,97.88361505867772,1917.6203092428984,304.5454971180648,0.3015405609362284,0.0846713631006616,0.9681820733984708,COMPLETE
50,385.5932833692483,2000-01-01 00:00:50.000000,2000-01-01 00:00:50.000000,0 days 00:00:00,13.93712991858067,78.86216928416827,2066.026976494384,457.5192879537216,0.2003167638994822,0.0972750940864214,1.0921861431999074,COMPLETE
51,1000000000.0,2000-01-01 00:00:51.000000,2000-01-01 00:00:51.000000,0 days 00:00:00,12.691859520706789,71.54196134026888,1291.795331042484,207.4835891049224,0.1152879044284221,0.0902110574324834,1.1011943585489357,COMPLETE
52,315.6609026206744,2000-01-01 00:00:52.000000,2000-01-01 00:00:52.000000,0 days 00:00:00,5.693460056099564,75.31719352350407,2990.647071496229,288.25331339646,0.2749351533922763,0.0921471593995682,1.1896117356399736,COMPLETE
53,369.3925717884852,2000-01-01 00:00:53.000000,2000-01-01 00:00:53.000000,0 days 00:00:00,12.245558404557531,81.78869185002014,2988.0984894666603,346.40337157646815,0.2192271213724693,0.0784930159447686,1.0921235503926492,COMPLETE
54,1000000000.0,2000-01-01 00:00:54.000000,2000-01-01 00:00:54.000000,0 days 00:00:00,46.40468762843485,55.92464271253013,2606.6247000575454,378.887164114826,0.3731587301280343,0.0293199132412802,0.7251507457861487,COMPLETE
55,375.56016840154905,2000-01-01 00:00:55.000000,2000-01-01 00:00:55.000000,0 days 00:00:00,5.637546659926246,86.31611000298136,2686.066263881889,210.83319861828443,0.2877946691996751,0.0820423155215246,1.1239279260326334,COMPLETE
56,383.74721120852314,2026-05-04 19:39:54.921955,2026-05-04 19:40:22.584940,0 days 00:00:27.662985,12.793695841400586,54.90378560329715,2874.2755528860457,302.3100146550588,0.2524808129933061,0.09561533151517906,1.0746070652898314,COMPLETE
57,289.57929068111855,2026-05-04 19:40:22.585749,2026-05-04 19:40:51.139018,0 days 00:00:28.553269,11.007195969196365,74.05446237031279,1031.4025749422738,104.92837117689245,0.21247273890238078,0.05293877354570926,1.0783975728771413,COMPLETE
58,342.8752664694192,2026-05-04 19:40:51.140042,2026-05-04 19:41:22.558151,0 days 00:00:31.418109,5.243217241593194,86.46523383420468,1078.7909243396116,153.01534718342043,0.24737056674930702,0.0614619122226875,0.9343728639499178,COMPLETE
59,1000000000.0,2026-05-04 19:41:22.559100,2026-05-04 19:42:08.958954,0 days 00:00:46.399854,7.573419438852717,98.7676026385339,1901.8768599411173,162.09060192826504,0.1267576017098765,0.056394109615907954,1.083926377183406,COMPLETE
60,382.85534363780744,2026-05-04 19:42:08.960025,2026-05-04 19:42:40.553181,0 days 00:00:31.593156,16.740116662396325,85.99584115801387,1531.7124332510957,126.98364289913941,0.24942531895798023,0.03197864404896544,0.996620087731741,COMPLETE
61,398.4672442865097,2026-05-04 19:42:40.554172,2026-05-04 19:43:09.195110,0 days 00:00:28.640938,10.381844149281694,70.00096178995025,1252.4228041387653,101.01204817255753,0.25051163545516114,0.04972194169388733,0.9950740598631782,COMPLETE
62,390.82284448157657,2026-05-04 19:43:09.195882,2026-05-04 19:43:40.560889,0 days 00:00:31.365007,6.943379765230507,65.3144047364155,1058.7672926731846,160.16495547275824,0.2441158145663632,0.06879274833309461,0.7344391028528949,COMPLETE
63,1000000000.0,2026-05-04 19:43:40.562031,2026-05-04 19:44:26.961156,0 days 00:00:46.399125,5.722663159971614,97.932403457677,1046.0275800470326,109.25534505841058,0.2820287757653005,0.07404919309989419,1.1304643164383001,COMPLETE
