trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
34,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0017, vel_ratio=0.00",0.22857142857142856,,,,,,,,,,,,,,0.28636780448984217,25.745712518692017
35,55.80029809046187,23.72510097273384,0.0,0.0,False,False,,0.2222222222222222,4.81441228184993,0.46507787704469045,0.5303981330974162,0.013099089945215798,0.012893890652043584,0.0,2.1000903724951386e-17,2.3878653049468994,0.23253893852233887,2.5450358842823476e-15,0.3261008089788996,0.0,0.0,1.40213910033724,25.079214334487915
36,32.1066193734757,23.72510097273384,0.0,0.0,False,False,,0.21621621621621623,4.675987536965831,0.09400191847063724,0.32816666149674745,0.00717465115606236,0.0071000441110876415,3.844387486823253e-07,2.7755575615628914e-17,2.327343702316284,0.04699134826660156,0.0,0.321441374407137,0.0,0.0,1.257635800909551,28.117748498916626
37,36.33713250075586,23.72510097273384,0.0,0.0,False,False,,0.21052631578947367,4.721345282561894,0.19124507906726082,0.36452210000337815,0.00822762414582545,0.008131774586874857,5.346695308716676e-13,2.7755575615628914e-17,2.3484749794006348,0.09562253952026367,1.3808744087377569e-19,0.34361575900284935,0.0,0.0,1.254172424322061,28.073621034622192
38,39.48375185777537,23.72510097273384,0.0,0.0,False,False,,0.20512820512820512,4.735024843817948,0.3309679031372085,0.3895625000419854,0.00902242948636249,0.008871050081650036,2.7755575615628914e-17,2.8911132732289483e-17,2.354205846786499,0.16548395156860352,1.0956148269327203e-17,0.5238127092143381,0.0,0.0,1.1615894025514821,28.246017694473267
39,27.65738327192959,23.72510097273384,0.0,0.0,False,False,,0.2,4.649664711549772,0.11870336532592847,0.289968453554599,0.0060597738121685235,0.006002370382313104,1.3877787807814457e-17,2.76860997228956e-17,2.315828800201416,0.05935168266296387,9.298117831235687e-18,0.37279561553023666,0.0,0.0,1.2985691112900777,28.04781460762024
40,28.600851401571248,23.72510097273384,0.0,0.0,False,False,,0.1951219512195122,4.677828907422979,0.18595981597900538,0.2974004652693397,0.0062839860467661275,0.006222764469769092,1.3877787807814457e-17,1.798766884999431e-17,2.329580307006836,0.09297990798950195,1.5604049218054792e-16,0.347131897920981,0.0,0.0,0.2503550480336441,31.2025043964386
41,34.877385249945725,23.72510097273384,0.0,0.0,False,False,,0.19047619047619047,4.719220262282552,0.18463802337649296,0.3516396315697717,0.007854803559963689,0.007776770827989493,1.3877787807814457e-17,7.50940934905391e-17,2.347944974899292,0.09231901168823242,5.48388195695006e-15,0.3492399348047106,0.0,0.0,0.2753877224545711,25.355916500091553
42,28.807180871687315,23.72510097273384,0.0,0.0,False,False,,0.18604651162790697,4.673958547729749,0.14670705795288155,0.3000261638614413,0.0063391528416613645,0.006282093729740753,1.3877787807814457e-17,2.7755575615628914e-17,2.3275561332702637,0.07335352897644043,1.09923071745065e-18,0.3748450954121721,0.0,0.0,0.3274866250859689,24.352387189865112
43,65.18913463404544,23.72510097273384,0.0,0.0,False,False,,0.18181818181818182,4.6328165837762585,0.060067079088493236,0.2554283622570793,0.0050752550161344626,0.0050280196348106414,0.0008302001480531285,1.0239512985120001e-16,2.308866262435913,0.009278535842895508,9.159873714227073e-15,0.35287051853396056,0.0,0.0,0.482719747982607,25.155044317245483
44,41.32573405465803,23.72510097273384,0.0,0.0,False,False,,0.17777777777777778,4.6409715655634205,0.06763827279827635,0.2710800077419968,0.005566221627975239,0.005428759362611566,0.000316827193026073,2.96997628699179e-17,2.312342643737793,0.025898456573486328,8.326672684688674e-18,0.40036076362218564,0.0,0.0,0.8036906435706304,25.199387788772583
45,65.63884723452588,23.72510097273384,0.0,0.0,False,False,,0.17391304347826086,4.633168559755835,0.12308528059781224,0.2999477792266708,0.006359526855135713,0.006265435445955553,0.0007377008664728457,2.581417751465236e-17,2.3071861267089844,0.04310011863708496,6.870865532300295e-18,0.37159399518431485,0.0,0.0,1.2027884817438226,28.10782217979431
46,41.018510943442614,23.72510097273384,0.0,0.0,False,False,,0.1702127659574468,4.736388738906611,0.17582082749400846,0.4051396086532264,0.009413338293803563,0.009286263239459549,0.0,6.415753671499898e-14,2.354264974594116,0.08791041374206543,1.975518964585871e-12,0.4119996484332859,0.0,0.0,1.210076359751726,27.36247420310974
47,32.699887034408086,23.72510097273384,0.0,0.0,False,False,,0.16666666666666666,4.677473449971263,0.18168640136718933,0.3335926269839126,0.007308824946378158,0.007249800452253509,0.0,1.3877787807814457e-17,2.327862024307251,0.09084320068359375,3.6863715963281895e-16,0.5413483558644187,0.0,0.0,0.41821282088478484,26.116610527038574
48,36.940361462016284,23.72510097273384,0.0,0.0,False,False,,0.16326530612244897,4.698164560539883,0.2507066726684585,0.37359269098764836,0.00837326904787097,0.008281740262561963,2.7755575615628914e-17,3.2899432042903515e-17,2.3366596698760986,0.12535333633422852,1.4151241754766465e-17,0.4468803125286043,0.0,0.0,1.2945010574176108,28.114559173583984
49,41.00333900924747,23.72510097273384,0.0,0.0,False,False,,0.16,4.712196588794567,0.29726315523603514,0.4046335205144863,0.009389319725610617,0.009281396958622094,1.9473649082168976e-10,1.6397546772159529e-12,2.3421761989593506,0.14863157272338867,1.0486643132077156e-11,0.36265563532046685,0.0,0.0,0.8584648951604865,24.378532886505127
50,42.01850613279518,23.72510097273384,0.0,0.0,False,False,,0.1568627450980392,4.744595579460954,0.2814126014709487,0.41245195139619334,0.009641900873565798,0.00952849525732984,2.7755575615628914e-17,1.6243534171511177e-17,2.3580050468444824,0.14070630073547363,1.179947175930118e-17,0.3506875654464065,0.0,0.0,1.2877090479193667,25.34343123435974
51,32.55063316212664,23.72510097273384,0.0,0.0,False,False,,0.15384615384615385,4.675060327024165,0.10853052139282296,0.33255365249269797,0.0072843015339286174,0.007218856007159864,1.3877787807814457e-17,2.7755575615628914e-17,2.3267018795013428,0.05426526069641113,0.0,0.3384942804292402,0.0,0.0,1.3778382709964319,28.36577558517456
52,31.0642424791399,23.72510097273384,0.0,0.0,False,False,,0.1509433962264151,4.676604725754709,0.07005310058593751,0.3194853981742023,0.006917241063035243,0.006851347895612496,0.0,2.7755575615628914e-17,2.3280253410339355,0.03502655029296875,3.1140401910217806e-18,0.368711001049994,0.0,0.0,0.3219696049016392,26.46480131149292
