trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
36,1370406.8096712336,1183013.5647806285,0.0,0.0,False,False,,0.08108108108108109,4.6131324761785715,1.625426860877223,0.1754960510007413,2.2993206787962426e-14,0.0051383228705598446,0.004844665317987305,0.003701975736109267,1.0931746699551162e-07,2.2992992401123047,0.7201619148254395,8.488841761681375e-07,0.37309095883381443,0.0,0.0,1.3598405853523265e-15,3.028620526285954e-15,0.8555075832437089,13.77219033241272
37,13705769.663106225,1183013.5647806285,0.0,0.0,False,False,,0.07894736842105263,5.2926662400346745,16.618710198417354,1.8446926906469563,50.3177514553162,0.06300036671549553,0.04682502597509981,0.0674961554513156,0.030468742577501762,2.5760955810546875,6.53959846496582,0.03294109918398645,0.9599229439197662,0.0,0.0,3.569033432888676,5.441370998051698,0.4404551833872029,13.259717464447021
38,1376370.741478867,1183013.5647806285,0.0,0.0,False,False,,0.07692307692307693,4.57685406579572,2.2141437439138025,0.23243921844740245,1.830852930633509e-14,0.0064990211314899324,0.006223942087749682,0.0037615249756240976,1.4517315130262209e-05,2.2790911197662354,1.0127582550048828,0.00011019702456632273,0.4013798084733045,0.0,0.0,1.0723777743942626e-15,2.432376777795247e-15,1.1259289145816997,13.63905668258667
39,1576396.1546641744,1183013.5647806285,0.0,0.0,False,False,,0.075,4.6236141934582315,3.9298630984489225,0.3196331980094542,1.4139757070373702e-14,0.008905332209123821,0.008365591850172134,0.005760680017164066,1.537810286708787e-05,2.2992587089538574,1.8206486701965332,0.00010635143953052858,0.5665893266936601,0.0,0.0,8.929883194197605e-16,1.7489626287539045e-15,0.4614226271510039,13.655490636825562
40,1265962.3022953672,1183013.5647806285,0.0,0.0,False,False,,0.07317073170731707,4.615402402110594,1.2159882252658656,0.20457770693061944,3.0698112589074576e-14,0.0058902720049876026,0.005719245019123905,0.0026580207142120615,6.034008825440262e-06,2.2991223335266113,0.5414407253265381,4.114778043727391e-05,0.33932047112242814,0.0,0.0,1.7815046270405593e-15,4.1115188931875254e-15,0.8246880170945692,16.460346221923828
41,1000000000.0,1183013.5647806285,0.0,0.0,False,True,Velocity safety exceeded,0.09523809523809523,,,,,,,,,,,,,,,,,0.6933063782014794,5.1444220542907715
42,1446471.7238098176,1183013.5647806285,0.0,0.0,False,False,,0.09302325581395349,4.617664970380085,2.7057154934160357,0.23042180346643362,1.1577896446249193e-14,0.006787198817971144,0.006405723565822637,0.00446217480593511,2.9269220133962077e-06,2.2992238998413086,1.2412569522857666,1.8569709549407478e-05,0.33592293578450916,0.0,0.0,7.273769747147827e-16,1.439720162132733e-15,0.7395973049409237,13.261958599090576
43,1425313.5854766318,1183013.5647806285,0.0,0.0,False,False,,0.09090909090909091,4.617722287308239,2.983914065714374,0.2503279163981067,3.8789928060859134e-14,0.00726544485967721,0.006994013829715904,0.004250675804941165,5.956290698100633e-06,2.298370122909546,1.3855938911437988,3.849863594365813e-05,0.35407278354012434,0.0,0.0,2.4091139597924076e-15,4.879254095629969e-15,0.7767067140458757,13.175664901733398
44,1254281.761190778,1183013.5647806285,0.0,0.0,False,False,,0.08888888888888889,4.684315808655845,1.1230754096657085,0.2809202896752313,1.3322314435010624e-14,0.008089566990066431,0.007827642242784977,0.0025411871848289025,7.771491440309819e-06,2.330416440963745,0.4978756904602051,5.293390077064974e-05,0.3831198883217207,0.0,0.0,7.416214476096526e-16,1.8473357135333507e-15,0.7796260618802144,16.563369750976562
45,1000000000.0,1183013.5647806285,0.0,0.0,False,True,Velocity safety exceeded,0.10869565217391304,,,,,,,,,,,,,,,,,0.34376578710442557,4.966917037963867
