number,value,datetime_start,datetime_complete,duration,params_collision_constraint_timeout_sec,params_collision_force_attack_hz,params_collision_force_max,params_collision_force_max_per_contact,params_collision_force_release_hz,params_collision_force_scale,params_collision_force_slew_rate,params_collision_guard_distance,params_collision_influence_distance,params_collision_normal_damping,params_collision_normal_fade_power,params_collision_normal_force_max,params_collision_safe_distance,params_collision_tangent_force_max,params_collision_tangent_force_ratio,params_collision_tangent_gain,params_collision_tangent_gamma_power,params_collision_tangent_speed_scale,params_collision_tangent_velocity_deadband,params_collision_task_distance,state
33,1000000000.0,2026-05-03 16:38:43.268065,2026-05-03 16:38:43.274591,0 days 00:00:00.006526,0.09199544999968055,8.229355709871578,6.889571645200931,9.603513648325746,10.18079728909062,0.6757121998005983,98.50863032984036,0.02070484480676365,0.0553359174130087,11.641639884386539,0.9833237495906985,6.217792802634774,0.01457755023836058,1.3533216834108157,0.36407839624301497,0.6411775457501606,2.8981992399197756,0.10711906672378987,0.013253785450095677,0.00565115105046796,COMPLETE
34,22474.002769096503,2026-05-03 16:38:43.275135,2026-05-03 16:39:18.881064,0 days 00:00:35.605929,0.26598825793327663,9.56533487346232,2.3822887456160164,9.375832380406543,11.029665728943963,0.5136795818119841,131.16990703274408,0.013665092149583797,0.036537305801639997,15.443440172071487,0.7637284758980933,7.306640796192163,0.03644210173223796,5.997358884661575,0.5549805567532619,2.0335600228371478,1.3815180728313607,0.047697453337992336,0.017421367898177498,0.003710534521504732,COMPLETE
35,20601.802066983997,2026-05-03 16:39:18.882604,2026-05-03 16:39:51.355125,0 days 00:00:32.472521,0.21855904109934343,13.544785694720215,5.914881026388197,8.544881351194846,6.694192739513419,1.024336671859138,130.37674400235457,0.014666427050958799,0.058646988500152146,14.807712320283795,1.8543241740187564,5.579081323515151,0.02348741257544221,3.053754263610426,0.5329710504672653,2.2100492846223436,1.8011395869194569,0.13721853135466452,0.026485381391313147,0.006361679949867525,COMPLETE
36,21049.97895837589,2026-05-03 16:39:51.356815,2026-05-03 16:40:26.781067,0 days 00:00:35.424252,0.09764641650118257,21.03233284035698,7.27212316657493,9.314082907478543,4.738053894872966,1.0579486807370215,139.94093549621604,0.019287695726042255,0.058403137869300605,15.767727953201748,0.7237649528077756,6.58046149404729,0.025081854908581277,3.34967580023996,0.5298421931537618,3.057764920252506,1.3570186370217694,0.09653456040400946,0.013457687581345667,0.010472980119883518,COMPLETE
37,1000000000.0,2026-05-03 16:40:26.782629,2026-05-03 16:40:26.798257,0 days 00:00:00.015628,0.1823389009850807,11.993721407048007,5.651090943422996,8.288528926457257,12.568581480869812,0.7321862496595072,141.76384582012616,0.027704536061478956,0.05522803776405279,16.567088931427868,1.316749428640464,6.282701498952187,0.02422173727982793,3.851638299237475,0.5653053786779292,5.365853623366144,2.0771357746282186,0.13733203182903564,0.01298786932737691,0.007813066837522902,COMPLETE
38,1000000000.0,2026-05-03 16:40:26.798792,2026-05-03 16:40:26.802996,0 days 00:00:00.004204,0.13162584939928734,9.595272826625584,5.988657806709287,8.694289153989997,4.611838007215132,0.43111647712243917,132.3771716606796,0.014727498064316752,0.03841730916363406,9.113872858579555,0.9910324316467616,6.498110256902129,0.01272378870476136,1.1443239128474487,0.27351907671152687,1.9479071968148591,1.7071667955152559,0.08875795989104635,0.00839589139039693,0.012932217500417145,COMPLETE
39,1000000000.0,2026-05-03 16:40:26.803562,2026-05-03 16:40:26.807984,0 days 00:00:00.004422,0.21443314285466455,23.21823333404883,5.557536390032007,9.830568684684158,12.477690572994304,1.000321162112546,137.95675372564295,0.02183576382861,0.07249345044129507,13.470004012811607,1.1105191301500927,5.607920620700882,0.021226392605226265,2.096338837699254,0.561117165177914,5.224967396820783,2.863972451198442,0.12756041632996262,0.02390738862859828,0.01053170113117831,COMPLETE
40,19361.867224880287,2026-05-03 16:40:26.808602,2026-05-03 16:40:58.479713,0 days 00:00:31.671111,0.10065652592955457,21.81690472896804,3.6518952372081106,8.92173735301343,9.014801178581232,0.789252940271918,146.17866422822306,0.011030023699650704,0.06219159901088043,10.569197181367521,0.8828687812293848,5.943986910149577,0.020523844695466864,3.7286126553674626,0.5147711941300115,2.865142960650193,2.227783767190269,0.11495572177901159,0.01175602169386639,0.005560404952712011,COMPLETE
41,21101.46439035269,2026-05-03 16:40:58.481446,2026-05-03 16:41:34.031105,0 days 00:00:35.549659,0.3008500942532768,13.318275548238574,3.427427743090769,8.074242942375477,18.373643769651952,0.6907810687376682,139.9938532547712,0.019215699729623423,0.02682585598915576,20.246761781822816,0.7435714470308236,7.062255367082679,0.019755691389384045,7.052774158133914,0.4986357415425737,2.2563401807831047,1.6501391496900868,0.06387206382643229,0.006556938077865577,0.01266406459754408,COMPLETE
42,1000000000.0,2026-05-03 16:41:34.032087,2026-05-03 16:41:34.038291,0 days 00:00:00.006204,0.1712877217164212,11.354522632225462,2.354444075368405,7.358323155009208,20.297206964756246,1.1677741919860631,116.84514790333053,0.026256950563031164,0.029844473278379233,12.913359706737856,0.7081005549317966,7.758522865928017,0.014497886646170008,4.902615013314939,0.4489608804181255,2.610068182809711,1.5602291175555438,0.022083150775359717,0.01503693864606666,0.008800215438968386,COMPLETE
43,15216.38687091747,2026-05-03 16:41:34.038888,2026-05-03 16:42:06.614978,0 days 00:00:32.576090,0.3437478717677323,15.637523681935395,2.3544104522870706,6.416495928100723,15.593456052144454,1.1265468771775775,121.69184561569638,0.0126594151659056,0.0379964770295113,10.524988188065302,0.7034744300244861,8.973430913227958,0.026276983198049587,6.022647682469053,0.49102386098751927,4.383346115550587,1.212456277281291,0.041667872175749056,0.018600893134243606,0.009321498447729552,COMPLETE
44,1000000000.0,2026-05-03 16:42:06.615772,2026-05-03 16:42:06.621170,0 days 00:00:00.005398,0.25958828887670293,8.779256921782338,6.334113891263325,7.684764437145228,16.283219541622703,0.878129825646444,142.45606844603265,0.016740821257745137,0.03256253138217215,18.101351348386167,1.0098151961551685,8.753171721178608,0.033329029159844606,7.212010511949243,0.4354359069504767,1.7438093867714342,1.3906333992273212,0.02730356524905505,0.011137326626159707,0.007850202091906296,COMPLETE
45,21211.001930296898,2026-05-03 16:42:06.621691,2026-05-03 16:42:40.864956,0 days 00:00:34.243265,0.24089686265399954,16.726161067637406,2.8623868827468244,8.567783045119823,21.462304881213655,1.2463491307912358,140.8377145370707,0.02034236904846033,0.03788222500220162,14.171815449653888,1.0509602191185703,9.165230835955354,0.024394392753750355,6.821298290748716,0.3909051948026579,0.768291232264495,1.7881967079414014,0.039971464486951415,0.007322919692371418,0.004625855860975728,COMPLETE
46,1000000000.0,2026-05-03 16:42:40.865779,2026-05-03 16:42:40.870982,0 days 00:00:00.005203,0.09887267908202955,10.722887692737782,7.667733030543136,8.630226079324187,15.169733338853419,1.0939370573245686,146.94236417979505,0.01217231402539191,0.035652247715203304,7.981563647128454,1.1671135950590705,8.034759117184176,0.010576027009804489,2.8817140278593136,0.48010746908872254,0.8345034118465692,2.4885807060773595,0.12769982299713903,0.0127606543052535,0.011090779716092878,COMPLETE
47,1000000000.0,2026-05-03 16:42:40.871511,2026-05-03 16:42:40.876546,0 days 00:00:00.005035,0.1779908575018358,20.40269298803819,3.5828935668370625,7.5147790870599795,17.77322386787494,1.1920900815588145,97.69406811674075,0.025258177016310217,0.06072625344038998,12.635832418146963,1.507606807087007,7.174727988351028,0.01778143706486856,2.3838741536140584,0.3988274444303932,0.7230003917363284,1.9417738578402497,0.14733108964879915,0.016302756555274748,0.009298579417285926,COMPLETE
48,1000000000.0,2026-05-03 16:42:40.877150,2026-05-03 16:42:40.882272,0 days 00:00:00.005122,0.08178239209039301,22.283096283330522,5.894637435638068,8.058217750933583,11.344442975977781,0.944133741169565,144.2043303065019,0.013693195797110778,0.03635096754320486,10.922240968746543,0.749715957512952,4.322016419838085,0.010007762666521057,1.1151511066859348,0.3695931862596383,2.079141651302613,2.18130423536442,0.14220724501727852,0.005047511094822451,0.00884494212379945,COMPLETE
49,1000000000.0,2026-05-03 16:42:40.882951,2026-05-03 16:43:14.318370,0 days 00:00:33.435419,0.25966028155014526,14.61119761810825,4.968081635827378,7.873043802925985,13.390543433936594,0.8934514186402804,128.50001819251426,0.024372770796027593,0.027198653878172385,13.319596404909285,1.0607318716184384,7.986209820381639,0.024575207291595996,6.680895664015688,0.2377727163643221,4.869117747158546,1.9735477006281605,0.06483902944440173,0.017642611675155677,0.0070591077239813855,COMPLETE
