trial,collision_k_rep,collision_normal_damping,collision_tangent_gain,collision_tangent_damping
129,0.00026208302651852076,2.6879750113847245,1.1135559695615673,1.3755641920541644
130,0.00042705419139011015,12.545716236363823,1.3640084884529857,1.3055935601325004
131,7.210463607891956e-05,6.652164731231036,7.7762865921426485,3.678664425220381
132,0.000347342396474718,21.096545286544192,13.241121354099107,0.7805297453705269
133,6.385683828619722e-05,7.598016937620382,6.055823107940702,3.4676758770657714
134,5.9087204874512604e-05,13.011536336058162,6.690649889294512,3.7169879082502972
135,0.0001980715789263551,5.968791768609671,13.919057656267952,0.5097159694875035
136,0.00017949754345690958,7.7899730243225,8.898207824725377,4.089473558479647
137,0.00015838771906770473,6.350607777568703,1.7105231117688553,2.6852432092484206
138,0.0004734728033645115,4.621919611091325,1.7418817370184811,4.350619977212838
139,0.00010182834943934634,7.168185345168286,1.8374320408045364,3.5829046791130867
140,0.00012010659687041368,5.322001473695282,1.2949935137107986,3.2329419615573993
141,0.00010060006835679541,12.588029990377734,1.6834433114639922,4.021767377272618
142,0.00013726361060420637,7.056647126550058,1.380441797382991,4.283272105279288
143,0.00014552731896383248,2.8134396846665233,1.3569862382365034,4.843607561548016
144,0.00014644932383589605,6.899007725855631,2.016964036091103,4.558256361877252
145,7.999253624228134e-05,9.821596697602596,1.758160809964335,3.612834993572254
146,0.00014654813584638016,7.167216131552412,1.9329189705438377,3.9154271897560102
147,0.0001339110066490771,8.262434381891943,1.4517143700999724,3.6645900284249775
148,6.688661527655081e-05,10.212363129837133,2.4231717932936294,3.4502366108791493
149,0.00021516295523759012,14.784401170145312,1.1370294913399412,1.8464953672470807
150,0.00020900531892049988,9.20858178664921,1.4480132580715028,4.486603986503448
151,6.066775495375609e-05,5.753927343540408,2.1869887128510306,4.099487815911405
152,0.00038586120650374687,17.523579213771562,8.00930036235564,1.9721850752640573
153,5.7149922625556295e-05,23.59097116329495,1.872696207489378,4.289202865600959
154,0.00010545414380866095,8.735624817427674,1.8123715010056363,4.14655234477298
155,0.00014827110266460943,2.578540643159592,8.711010205538498,2.6565910091283267
156,0.0003109709919852875,4.3774589383556535,6.656956536799079,2.7117176171236563
157,0.0004828463178909857,15.968278260273907,3.392738625581387,1.3833453343888824
158,9.250868456802998e-05,3.7161433180282275,3.766034082162137,3.519869436824569
159,0.00022397947654781701,6.651586605026481,6.009204290327672,1.2836821737269446
160,0.0001713683571799195,9.314813062681136,13.914017245017616,3.8523515420014496
161,0.00034359994908894506,11.793212435845282,10.23758948512375,3.479107246648574
162,0.00018304469976268854,7.764829042958256,7.163498481141723,2.066039352281956
163,7.585754575512027e-05,8.504006965196005,5.9018495320730375,2.373743924411845
164,0.0001230089233395241,11.428583310762544,5.944218137725583,4.138341194368225
165,0.00010076006913439294,8.479403518951095,1.1011551375197568,4.279137569513376
166,0.00040735681070837776,15.231568681455798,2.9549038244723773,2.5752028771364124
167,0.00021807974996562978,6.830611813344793,14.708562727372101,2.167232889689455
168,9.796558094168505e-05,8.252160393843125,4.033908797013924,4.121178807601337
169,0.000221830718661279,11.064577057526538,4.174386908249371,0.5791074057493121
170,0.0003005650882892095,12.33686528240488,13.637062357160577,0.10196333669307577
171,0.000190109838604355,8.33915339442508,1.0225255049386957,3.599816711578214
172,6.0216873437574675e-05,10.74792278810901,2.3615053265069337,2.9999600796068804
173,9.18477694266294e-05,8.213853411401345,1.296282632910734,2.154940139180453
174,0.00014721157185359934,9.22743432400906,4.325717592341663,3.5387480956431396
175,0.00011853270587303024,8.948710144828226,1.5008057718505978,2.893981140873276
176,0.0002273769391607975,2.627778484641958,1.3277200563809057,2.2501436701948476
177,0.00013609769511308583,4.562682217184723,7.087071804024796,4.278175126231628
178,8.344149889515681e-05,10.333531630278028,9.356831618003884,4.336208844479439
179,9.567706916497189e-05,12.264274552375277,1.19873355240692,3.246936998261261
