trial,cost,best_cost_so_far,is_best,safety_fail,fail_reason,min_distance,penetration_depth,force_jitter,velocity_spike,max_force,progress_error,arrival_jitter,final_error,error_at_stop,dynamic_tracking_error
87,15053.607760198996,12920.827438350736,False,False,,0.01827946460275228,0.0,0.13784738838320532,0.33295846188090816,7.318976394797775,0.0,5.654900784062075e-17,3.2931120243625727e-17,0.0385917306475025,0.033612181853194666
88,15936.603550328475,12920.827438350736,False,False,,0.019188502434100942,0.0,0.1362977977351553,0.07360607387842717,7.318789785772882,0.0,1.153380970172591e-16,4.449845509989538e-16,0.04378370000233563,0.03400144524559764
89,16005.869815786753,12920.827438350736,False,False,,0.019579894838848304,0.0,0.14971938197723203,0.14410615531428028,7.319910427202939,0.0,6.821586613823105e-17,1.2937385081363872e-16,0.044083941281167285,0.03445318501491278
90,15879.015954614431,12920.827438350736,False,False,,0.017303445782767424,0.0,0.13602970683493246,0.3965395374802974,7.340251459870611,0.0,1.1836251687458208e-16,8.854923962534515e-17,0.04310759029497975,0.03354030868025243
91,16225.977478079914,12920.827438350736,False,False,,0.01942884514755095,0.0,0.13228670694617573,0.1455240979042482,7.341470725832668,0.0,8.611725422330579e-17,1.4947437897984874e-16,0.04530355081350322,0.0356191767211609
92,15495.503167507464,12920.827438350736,False,False,,0.019024684769464433,0.0,0.13688769378246446,0.1198492456282369,7.319272059158676,0.0,1.252188697826799e-16,4.906206160292052e-16,0.04127937937544697,0.03440064611221627
93,16923.05222238406,12920.827438350736,False,False,,0.019595100957738268,0.0,0.13770207121686884,0.49071817170393406,7.321277454109834,0.0,6.914028065301718e-16,6.075387106976551e-16,0.04880479123935001,0.03316106139931898
94,15736.408749515618,12920.827438350736,False,False,,0.01907713622018013,0.0,0.08017878403613612,0.5037079710855816,3.8422359190824036,0.0,1.138902389260995e-16,3.629363182321807e-16,0.042208876746682264,0.03406040169386773
95,16027.22436041888,12920.827438350736,False,False,,0.01944617403008451,0.0,0.13567005988517553,0.10788147791048619,7.318895398513129,0.0,1.415551698172953e-16,4.41640188472213e-16,0.044248061150639034,0.03421355472747106
96,15239.01043188127,12920.827438350736,False,False,,0.012145260075826001,0.0,0.1790135950961787,0.3736791478456069,7.319253053458148,0.0,6.903465577766074e-17,4.388625105458208e-17,0.039561569202587604,0.034241466091561285
97,16228.723715706525,12920.827438350736,False,False,,0.019161536123215018,0.0,0.07014065227227492,0.1693198741134988,3.368195483701029,0.0,7.735957099043316e-17,1.0104480796016539e-16,0.04531440275790931,0.034760211846523816
98,16149.703412345,12920.827438350736,False,False,,0.018856588870573374,0.0,0.1171909512665881,0.24709132874446657,7.316909586009223,0.0,8.361040866061968e-16,4.229529738138189e-15,0.044779193793436506,0.03417071621403801
99,16917.415351496733,12920.827438350736,False,False,,0.013428917935989396,0.0,0.20576091177964448,0.20394256049569748,7.014164265357389,0.0,5.673501170045313e-17,3.505493154051833e-17,0.04902215604587281,0.042350705551497975
100,15950.748893539216,12920.827438350736,False,False,,0.018937340514065825,0.0,0.13255334607974958,0.26098472745129075,7.324677196547268,0.0,1.917824698441074e-16,1.0011701771980734e-15,0.0436514675934568,0.03466011392270792
101,14261.67724190776,12920.827438350736,False,False,,0.012341585830833663,0.0,0.1380850135375636,0.3482234354689028,7.323029786615694,0.0,6.521953920859701e-17,3.9984517347267394e-17,0.03417486691043957,0.03365226025797083
102,15932.58295436432,12920.827438350736,False,False,,0.019017219289112822,0.0,0.13760294511245844,0.16469772874492616,7.324509792696001,0.0,1.5148537297142319e-15,8.371109177437537e-15,0.0436567706528348,0.03454454384913648
103,17120.613525535708,12920.827438350736,False,False,,0.0195352898067722,0.0,0.13017176721377274,0.5859477858262868,7.322587419490458,0.0,2.7439186709311794e-15,2.3833298249816417e-15,0.04980501018375336,0.032013546933720265
104,16233.509993662768,12920.827438350736,False,False,,0.019169696050452985,0.0,0.11306480388305824,0.06877931598162357,6.945329459516087,0.0,1.4681401053596345e-07,4.047643884354297e-08,0.04542957815004889,0.03675439639752218
105,15815.694368794815,12920.827438350736,False,False,,0.019457010959083844,0.0,0.13520049753878616,0.267628466718185,7.324711521338026,0.0,4.1497877662600603e-16,2.576672936946639e-15,0.042890980888287966,0.03503209068231606
106,16000.867830875486,12920.827438350736,False,False,,0.008704416092439224,0.0,0.22577364060378616,0.5133489906114841,7.318881281474054,0.0,5.680238381492823e-17,3.759128930466246e-17,0.0436403591643926,0.03164470113232416
107,15746.347270663427,12920.827438350736,False,False,,0.01346283701263408,0.0,0.15979709886957166,0.14132266340727856,7.336634695362469,0.0,1.2315355289824806e-14,1.0646644915148165e-14,0.042657439595574304,0.031753755833163616
108,19487.634750335244,12920.827438350736,False,False,,0.016814514831679422,0.0,0.1363926270220752,0.5303186770470593,7.338367976271226,0.0,4.379005321863366e-15,3.878379099357213e-15,0.06301324759880518,0.032366815789100264
109,15797.867593251249,12920.827438350736,False,False,,0.019907723354898422,0.0,0.06161707829289616,0.09138098615240109,3.1589743613724224,0.0,1.1210736119078578e-16,2.0246865258685594e-16,0.04301303568065444,0.03416411958830762
110,16044.107756655027,12920.827438350736,False,False,,0.019054245142116157,0.0,0.11525839487137444,0.10151631646400597,7.1620036103721265,0.0,7.342320918381769e-17,1.4856058095906296e-16,0.04435427953958487,0.034271256493367146
111,16064.735073270094,12920.827438350736,False,False,,0.019088372870453087,0.0,0.12207582099867657,0.13207220999482253,7.318701970678464,0.0,7.535156460313795e-17,2.207421588200908e-16,0.04443233755706,0.034396079950381436
112,16119.017271636356,12920.827438350736,False,False,,0.01945790526433757,0.0,0.129680350392197,0.14142712905044807,7.324215552655304,0.0,4.769093818182888e-16,3.352083143804084e-15,0.04472209069164819,0.03427150380987686
113,16080.007648637185,12920.827438350736,False,False,,0.01907133812027039,0.0,0.11283792996715114,0.1553137725454209,7.322042834043432,0.0,1.3398114087177351e-15,6.976023879234096e-15,0.044493718211206,0.03443371961239351
114,15842.370172722069,12920.827438350736,False,False,,0.019452269410550747,0.0,0.05330342370940789,0.09256213045734091,2.452586051575046,0.0,6.632667218773734e-17,1.7446361815538174e-16,0.04326143497232127,0.03413428042729138
115,16085.578011694666,12920.827438350736,False,False,,0.018751607268153943,0.0,0.13270474749347935,0.09395410383346492,7.3196333338805575,0.0,8.686780863761135e-17,1.775817896184413e-16,0.04458866574805381,0.03419211890359778
116,16204.146020133929,12920.827438350736,False,False,,0.019328101698008096,0.0,0.1267490454881012,0.11563375803790171,7.333881480442985,0.0,5.830758534986736e-17,1.4237245262508668e-16,0.04522474858334642,0.03422707124957726
117,16388.76157664302,12920.827438350736,False,False,,0.019127890510084452,0.0,0.13678783847021164,0.124658029570508,7.335651196353417,0.0,2.1203700261750378e-16,1.1758562587129391e-15,0.04623363630628828,0.03493604367347569
118,14681.38380474629,12920.827438350736,False,False,,0.018398350386717544,0.0,0.07329200018000508,0.32773613442476984,4.320698045486892,0.0,5.655174640438948e-17,3.909363755011785e-17,0.03654679620989916,0.03374866007047767
119,15776.036318016086,12920.827438350736,False,False,,0.018968796711702124,0.0,0.13181249846106416,0.10364563623477008,7.319440481806837,0.0,2.018858483520061e-16,1.1191705457117737e-15,0.042856480755887744,0.034550029786243275
120,1000000000.0,12920.827438350736,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_collision_trial.py', '--ros-args', '-p', 'trial_index:=120', '-p', 'duration:=15.0']' returned non-zero exit status 1.",,,,,,,,,,
121,16147.175514675237,12920.827438350736,False,False,,0.019263577497290185,0.0,0.10808436160059706,0.23957998127987204,6.184003499211093,0.0,1.1719020740320117e-16,3.947101043943507e-16,0.04477115598252737,0.03504722348428284
122,19265.72970366994,12920.827438350736,False,False,,0.01362746489915362,0.0,0.18141673847394307,0.5317349096451605,7.320779121100493,0.0,6.018996897540015e-14,6.683263250177181e-14,0.061773908647787104,0.031008328205830826
123,15865.103816696166,12920.827438350736,False,False,,0.019108847919827553,0.0,0.12991046277543727,0.10252986499706723,7.318767886917943,0.0,2.8411600975049794e-16,1.6142679059847967e-15,0.043353975109605966,0.0343868008288487
